ip291	,12550.000000,12550
ip292	,13456.500000,53826
ip293	,4202.000000,16808
ip294	,111376.000000,111376
ip295	,4166.399902,41664
ip296	,1817.000000,3634
ip297	,9880.500000,19761
ip298	,1460.500000,2921
ip299	,1593.000000,1593
ip300	,12550.000000,12550
ip301	,26759.500000,428152
ip302	,25667.966797,770039
ip303	,72090.000000,72090
ip304	,7317.500000,14635
ip305	,65855.000000,65855
ip306	,41322.000000,123966
ip307	,33874.601563,338746
ip308	,38496.000000,38496
ip309	,110095.000000,110095
ip310	,30824.000000,339064
ip311	,12550.000000,37650
ip312	,12550.000000,25100
ip313	,318.000000,318
ip314	,143.000000,286
ip315	,7383.000000,7383
ip316	,0.000000,0
ip317	,33874.601563,338746
ip318	,0.000000,0
ip319	,12550.000000,50200
ip320	,110095.000000,110095
ip321	,26588.777344,239299
ip322	,8599.000000,8599
ip323	,0.000000,0
ip324	,30658.000000,30658
ip325	,24432.935547,757421
ip326	,43251.332031,129754
ip327	,17620.000000,70480
ip328	,143.000000,286
ip329	,318.000000,318
ip330	,12550.000000,12550
ip331	,30824.000000,339064
ip332	,33874.601563,338746
ip333	,26362.687500,421803
ip334	,12550.000000,25100
ip335	,116478.406250,5707442
ip336	,6271.000000,6271
ip337	,89907.500000,179815
ip338	,2680.500000,10722
ip339	,12910.400391,64552
ip340	,33874.601563,338746
ip341	,12550.000000,50200
ip342	,106253.664063,637522
ip343	,12550.000000,62750
ip344	,293.000000,293
ip345	,0.000000,0
ip346	,65855.000000,65855
ip347	,298.000000,1192
ip348	,4367.000000,13101
ip349	,306.500000,613
ip350	,30824.000000,339064
ip351	,17100.000000,34200
ip352	,109181.335938,327544
ip353	,117772.000000,235544
ip354	,6412.000000,12824
ip355	,25268.500000,50537
ip356	,9324.571289,65272
ip357	,33874.601563,338746
ip358	,7601.500000,15203
ip359	,20166.476563,423496
ip360	,12550.000000,12550
ip361	,116900.000000,116900
ip362	,9550.333008,57302
ip363	,0.000000,0
ip364	,4367.000000,13101
ip365	,30824.000000,339064
ip366	,210.000000,630
ip367	,138672.609375,1802744
ip368	,30824.000000,339064
ip369	,31025.666016,93077
ip370	,17997.000000,17997
ip371	,22814.000000,22814
ip372	,33874.601563,338746
ip373	,6553.000000,19659
ip374	,0.000000,0
ip375	,12550.000000,12550
ip376	,106402.140625,744815
ip377	,33068.667969,396824
ip378	,31679.000000,316790
ip379	,21978.857422,153852
ip380	,143.000000,286
ip381	,202.000000,606
ip382	,143.000000,286
ip383	,20734.166016,373215
ip384	,274.500000,549
ip385	,286.000000,286
ip386	,7746.250000,30985
ip387	,12550.000000,12550
ip388	,109331.000000,109331
ip389	,12550.000000,12550
ip390	,72090.000000,72090
ip391	,304.500000,609
ip392	,99989.312500,1599829
ip393	,4706.500000,18826
ip394	,20519.726563,2544446
ip395	,33874.601563,338746
ip396	,286.000000,286
ip397	,31211.714844,218482
ip398	,23297.000000,23297
ip399	,0.000000,0
ip400	,30824.000000,339064
ip401	,95.333336,286
ip402	,10781.833008,64691
ip403	,33874.601563,338746
ip404	,33874.601563,338746
ip405	,117492.000000,117492
ip406	,13112.713867,91789
ip407	,1584.666626,9508
ip408	,12550.000000,12550
ip409	,57737.000000,115474
ip410	,4922.000000,4922
ip411	,91446.132813,1371692
ip412	,314.000000,314
ip413	,314.000000,314
ip414	,314.000000,314
ip415	,13456.500000,26913
ip416	,119876.164063,1438514
ip417	,0.000000,0
ip418	,31510.230469,409633
ip419	,41828.000000,41828
ip420	,27738.500000,55477
ip421	,41437.000000,41437
ip422	,2604.000000,5208
ip423	,26941.937500,431071
ip424	,11452.272461,125975
ip425	,30824.000000,339064
ip426	,19222.500000,76890
ip427	,30824.000000,339064
ip428	,12550.000000,12550
ip429	,37505.000000,37505
ip430	,25895.066406,388426
ip431	,11452.272461,125975
ip432	,31679.000000,316790
ip433	,81083.000000,81083
ip434	,136885.921875,1916403
ip435	,116900.000000,116900
ip436	,3529.000000,74109
ip437	,143.000000,286
ip438	,4452.333496,40071
ip439	,6683.500000,13367
ip440	,25332.333984,75997
ip441	,318.000000,318
ip442	,33874.601563,338746
ip443	,17262.732422,258941
ip444	,71838.929688,1077584
ip445	,6745.000000,6745
ip446	,20084.000000,40168
ip447	,8599.000000,8599
ip448	,95.333336,286
ip449	,18723.826172,2153240
ip450	,22721.537109,931583
ip451	,13821.631836,262611
ip452	,12550.000000,12550
ip453	,91538.000000,91538
ip454	,225.000000,900
ip455	,654854.000000,654854
ip456	,0.000000,0
ip457	,117988.601563,589943
ip458	,26669.111328,240022
ip459	,286.000000,286
ip460	,81083.000000,81083
ip461	,5072.375000,121737
ip462	,7317.500000,14635
ip463	,7383.000000,14766
ip464	,30824.000000,339064
ip465	,4367.000000,13101
ip466	,153428.000000,306856
ip467	,143.000000,286
ip468	,395471.000000,1186413
ip469	,29093.539063,378216
ip470	,36647.398438,916185
ip471	,38496.000000,38496
ip472	,17620.000000,70480
ip473	,3795.333252,11386
ip474	,9795.580078,489779
ip475	,12550.000000,12550
ip476	,312.000000,312
ip477	,13600.000000,13600
ip478	,41431.000000,41431
ip479	,20796.087891,478310
ip480	,238.199997,1191
ip481	,11452.272461,125975
